Class	Grade	Year
Business Math	1.9	2006
Statistics	3.2	2006
Statistics	2.6	2006
Analytics	0.6	2006
Analytics	3.2	2006
Statistics	0.4	2006
Statistics	0.6	2006
Business Math	3	2006
Business Math	2.3	2006
Statistics	0.5	2006
Business Math	0.1	2006
Analytics	1.9	2006
Analytics	1.2	2006
Analytics	3.4	2006
Analytics	3.4	2006
Statistics	2.7	2006
Business Math	3.2	2006
Analytics	3.1	2006
Statistics	3	2006
Statistics	2.8	2006
Business Math	2.4	2006
Business Math	2.5	2006
Statistics	0.4	2006
Statistics	2	2006
Statistics	1	2006
Business Math	2.6	2006
Business Math	3.2	2006
Business Math	3.8	2006
Statistics	3	2006
Analytics	3.5	2006
Statistics	2.7	2006
Analytics	3.7	2006
Analytics	3.1	2006
Analytics	2.1	2006
Statistics	1	2006
Business Math	2.9	2006
Statistics	3.3	2006
Statistics	2.7	2006
Business Math	2.4	2006
Business Math	1	2006
Statistics	2.9	2006
Statistics	2.9	2006
Statistics	2.3	2006
Analytics	3.5	2006
Statistics	0.6	2006
Analytics	3.1	2006
Business Math	2	2006
Statistics	1.8	2006
Analytics	0.5	2006
Analytics	3.2	2006
Business Math	2.1	2006
Business Math	1.4	2006
Statistics	2.7	2006
Analytics	3.1	2006
Analytics	1.1	2006
Analytics	3.2	2006
Business Math	2	2006
Business Math	1.8	2006
Statistics	2	2006
Statistics	3	2006
Statistics	1.7	2006
Business Math	2.5	2006
Business Math	3	2006
Business Math	2.1	2006
Analytics	0.8	2006
Statistics	2.1	2006
Business Math	2.1	2006
Statistics	1.9	2006
Statistics	1.6	2006
Business Math	3.4	2006
Analytics	1.7	2006
Analytics	3.4	2006
Business Math	1.6	2006
Business Math	3	2006
Business Math	2.3	2006
Business Math	2.6	2006
Business Math	1.5	2006
Statistics	2	2006
Analytics	3.1	2006
Business Math	2.6	2006
Analytics	3.2	2006
Statistics	2.7	2006
Business Math	1.6	2006
Statistics	2.6	2006
Business Math	2.1	2006
Statistics	1	2006
Business Math	1.2	2006
Business Math	3.2	2006
Analytics	2.4	2006
Statistics	2	2006
Business Math	1.5	2006
Analytics	3.2	2006
Statistics	1.3	2006
Business Math	2.4	2006
Statistics	2.1	2006
Business Math	4	2006
Business Math	1.7	2006
Statistics	1.5	2006
Statistics	2.7	2006
Business Math	1.4	2006
Analytics	1.5	2006
Business Math	3.1	2006
Business Math	1.1	2006
Statistics	2.5	2006
Business Math	1.6	2006
Business Math	1.4	2006
Statistics	2.2	2006
Statistics	2.1	2006
Business Math	1.8	2006
Business Math	3	2006
Business Math	1.9	2006
Analytics	3.1	2006
Business Math	2.9	2006
Statistics	0.1	2006
Statistics	1.7	2006
Business Math	1.1	2006
Analytics	3.3	2006
Statistics	1.5	2006
Analytics	0.8	2006
Statistics	2.7	2006
Business Math	1.1	2006
Business Math	2.7	2006
Analytics	1.5	2006
Statistics	1.9	2006
Statistics	1.7	2006
Statistics	2.9	2006
Statistics	1.4	2006
Business Math	1	2006
Business Math	1	2006
Business Math	1.5	2006
Statistics	2.2	2006
Analytics	3.2	2006
Analytics	3.3	2006
Business Math	1	2006
Statistics	0.7	2006
Business Math	2.9	2006
Business Math	3.2	2006
Business Math	1.9	2006
Business Math	1.9	2006
Business Math	1.1	2006
Business Math	2.2	2006
Analytics	3.3	2006
Statistics	2.4	2006
Statistics	2.2	2006
Analytics	3.1	2006
Analytics	1	2006
Statistics	0.7	2006
Business Math	3.2	2006
Business Math	0.3	2006
Statistics	3.1	2006
Statistics	0.4	2006
Business Math	1.9	2006
Business Math	3.1	2006
Business Math	3	2006
Statistics	2.7	2006
Statistics	3	2006
Statistics	2	2006
Statistics	2.9	2006
Analytics	3.2	2006
Business Math	2.5	2006
Statistics	3	2006
Statistics	2.7	2006
Analytics	1.4	2006
Business Math	2.9	2006
Business Math	1.3	2006
Statistics	2.9	2006
Business Math	3.1	2006
Analytics	3.2	2006
Business Math	3.4	2006
Statistics	2.6	2006
Statistics	3.2	2006
Statistics	1.9	2006
Statistics	2.9	2006
Business Math	3.9	2006
Analytics	1.6	2006
Business Math	3.1	2006
Business Math	1.2	2006
Analytics	3.2	2006
Business Math	3.1	2006
Statistics	2.8	2006
Statistics	0.9	2006
Analytics	1.5	2006
Analytics	2.2	2006
Statistics	2.2	2006
Statistics	2.4	2006
Business Math	1	2006
Business Math	2.1	2006
Analytics	0.3	2006
Statistics	2.3	2006
Business Math	1.6	2006
Statistics	2.7	2006
Statistics	1.3	2006
Statistics	1.9	2006
Statistics	3.1	2006
Business Math	2.8	2006
Business Math	2.5	2006
Statistics	2.2	2006
Business Math	3.1	2006
Analytics	3.3	2006
Business Math	3.1	2006
Business Math	1.5	2006
Business Math	1.3	2006
Analytics	2.3	2006
Statistics	1.8	2006
Business Math	0.5	2006
Business Math	2.8	2006
Analytics	0.2	2006
Statistics	2.3	2006
Business Math	1.9	2006
Statistics	2.6	2006
Statistics	2.6	2006
Statistics	2.2	2006
Business Math	1.4	2006
Analytics	3.5	2006
Statistics	0.7	2006
Business Math	3	2006
Business Math	0.6	2006
Analytics	1.2	2006
Analytics	3.2	2006
Statistics	1.7	2006
Statistics	2.7	2006
Statistics	2.5	2006
Statistics	0.6	2006
Statistics	2.5	2006
Statistics	2.9	2006
Statistics	2.5	2006
Business Math	1.8	2006
Analytics	3.2	2006
Business Math	2.9	2006
Analytics	2.2	2006
Statistics	2.6	2006
Statistics	1	2006
Business Math	2.3	2006
Analytics	2.3	2006
Statistics	0.3	2006
Business Math	1.9	2006
Statistics	2	2006
Analytics	3.2	2006
Statistics	0.3	2006
Analytics	3.3	2006
Business Math	1.7	2006
Business Math	2.6	2006
Business Math	2	2006
Statistics	2.6	2006
Statistics	0.8	2006
Statistics	2.4	2006
Analytics	3.3	2006
Statistics	2.4	2006
Business Math	2	2006
Statistics	2.7	2006
Statistics	2.6	2006
Analytics	3.9	2006
Business Math	2.1	2006
Analytics	3.4	2006
Analytics	3.2	2006
Business Math	2.8	2006
Business Math	3.9	2006
Business Math	2.4	2006
Business Math	3.1	2006
Business Math	2.3	2006
Statistics	3.1	2006
Statistics	1	2006
Business Math	2	2006
Business Math	1.2	2006
Statistics	4	2006
Business Math	2.4	2006
Analytics	2.1	2006
Statistics	1.6	2006
Statistics	2.5	2006
Analytics	1.4	2006
Analytics	3.2	2006
Business Math	3	2006
Statistics	2.4	2006
Statistics	2.8	2006
Analytics	0	2006
Business Math	2	2006
Statistics	3	2006
Statistics	3.6	2006
Statistics	2	2006
Statistics	1.1	2006
Statistics	2.5	2006
Statistics	1.4	2006
Business Math	3.1	2006
Statistics	1.1	2006
Statistics	0.2	2006
Statistics	1.8	2006
Statistics	2.9	2006
Statistics	2.4	2006
Analytics	1.6	2006
Statistics	3	2006
Business Math	3	2006
Analytics	3.2	2006
Business Math	2.4	2006
Business Math	3.1	2006
Business Math	2.4	2006
Business Math	1.9	2006
Statistics	2.2	2006
Statistics	0.8	2006
Business Math	3.2	2006
Business Math	2	2006
Business Math	3.1	2006
Statistics	0.8	2006
Business Math	1	2006
Statistics	2.7	2006
Business Math	3.3	2006
Business Math	0.5	2006
Business Math	2.3	2006
Statistics	3.7	2006
Statistics	2.8	2006
Statistics	2.9	2006
Business Math	1.8	2006
Business Math	1.9	2006
Statistics	2.7	2006
Business Math	1.7	2006
Business Math	2.3	2006
Analytics	3.3	2006
Statistics	2.5	2006
Analytics	3.2	2006
Statistics	1.4	2006
Business Math	0.6	2006
Business Math	3	2006
Business Math	2.4	2006
Statistics	0.5	2006
Statistics	2	2006
Business Math	2.7	2006
Business Math	3.2	2006
Business Math	3.1	2006
Statistics	3.1	2006
Business Math	2.3	2006
Statistics	2.5	2006
Business Math	1.2	2006
Business Math	2.2	2006
Business Math	3.8	2006
Statistics	3	2006
Business Math	2.9	2006
Statistics	1.8	2006
Statistics	1.7	2006
Statistics	3.2	2006
Analytics	3.1	2006
Business Math	3.2	2006
Business Math	2.1	2006
Business Math	1.4	2006
Statistics	1.3	2006
Analytics	3.3	2006
Statistics	1.8	2006
Statistics	2.4	2006
Statistics	1	2006
Analytics	1.5	2006
Business Math	1.4	2006
Analytics	3.3	2006
Business Math	1.7	2006
Business Math	2.3	2006
Business Math	2.8	2006
Analytics	2.1	2006
Business Math	1.5	2006
Business Math	3	2006
Business Math	3.1	2006
Statistics	0.5	2006
Business Math	2.6	2006
Statistics	1.3	2006
Business Math	3	2006
Statistics	3	2006
Business Math	0.8	2006
Statistics	2.6	2006
Statistics	2	2006
Business Math	2.2	2006
Business Math	1.2	2006
Business Math	2	2006
Statistics	1.5	2006
Business Math	3	2006
Statistics	2.2	2006
Analytics	3.1	2006
Business Math	1.8	2006
Statistics	2.6	2006
Business Math	3.2	2006
Business Math	2.3	2006
Analytics	1.6	2006
Statistics	1.9	2006
Business Math	1.1	2006
Statistics	2.9	2006
Statistics	1.7	2006
Analytics	3.2	2006
Business Math	2.8	2006
Statistics	1.2	2006
Statistics	2.3	2006
Analytics	3.4	2006
Statistics	1.9	2006
Statistics	2	2006
Analytics	3.9	2006
Business Math	1.1	2006
Business Math	2.2	2006
Business Math	1.5	2006
Statistics	3.4	2006
Business Math	0	2006
Business Math	3	2006
Statistics	2.8	2006
Business Math	1.1	2006
Statistics	1.2	2006
Statistics	0.7	2006
Business Math	0	2006
Statistics	1.5	2006
Statistics	1.7	2006
Analytics	3.2	2006
Statistics	1.7	2006
Business Math	2	2006
Statistics	2.7	2006
Statistics	1	2006
Statistics	2.5	2006
Business Math	2.4	2006
Business Math	3.1	2006
Analytics	0.5	2006
Business Math	1.8	2006
Analytics	0.8	2006
Business Math	2.9	2006
Business Math	0	2006
Statistics	1.7	2006
Business Math	3.2	2006
Statistics	1.9	2006
Statistics	2.1	2006
Analytics	0.2	2006
Statistics	2.6	2006
Analytics	0.2	2006
Business Math	2.6	2006
Analytics	2.4	2006
Statistics	1.2	2006
Statistics	2.8	2006
Statistics	2.7	2006
Analytics	1.4	2006
Business Math	1.5	2006
Statistics	2.3	2006
Statistics	1.6	2006
Business Math	1.6	2006
Business Math	2.3	2006
Statistics	0	2006
Business Math	1	2006
Statistics	2.5	2006
Analytics	3.2	2006
Business Math	3.1	2006
Statistics	3.9	2006
Statistics	0.7	2006
Analytics	2.3	2006
Analytics	0.5	2006
Statistics	1.6	2006
Analytics	0.6	2006
Statistics	1.8	2006
Statistics	1.3	2006
Business Math	0.8	2006
Statistics	1.8	2006
Analytics	3.1	2006
Business Math	2.2	2006
Statistics	3.5	2006
Statistics	2.8	2006
Business Math	1.2	2006
Statistics	3.4	2006
Statistics	3.8	2006
Business Math	1.8	2006
Statistics	3.2	2006
Statistics	2.9	2006
Business Math	3.2	2006
Business Math	2.3	2006
Statistics	0.8	2006
Business Math	3	2006
Statistics	2.8	2006
Analytics	0.1	2006
Analytics	3.7	2006
Statistics	1.5	2006
Analytics	3.2	2006
Analytics	4	2006
Analytics	1.5	2006
Statistics	3.2	2006
Statistics	1.9	2006
Statistics	3.4	2006
Business Math	1.9	2006
Statistics	2.7	2006
Statistics	2	2006
Business Math	2.2	2006
Statistics	2.5	2006
Statistics	2.4	2006
Statistics	3.9	2006
Business Math	3	2006
Business Math	2.9	2006
Business Math	2.1	2006
Statistics	2.6	2006
Statistics	2.6	2006
Analytics	2.4	2006
Business Math	2.5	2006
Business Math	2.8	2006
Statistics	1.4	2006
Analytics	3.3	2006
Analytics	3	2006
Business Math	3	2006
Business Math	3	2006
Statistics	2.8	2006
Business Math	2.1	2006
Business Math	0.4	2006
Business Math	2.5	2006
Analytics	3.2	2006
Statistics	2.4	2006
Statistics	0.1	2006
Statistics	3.9	2006
Statistics	2.9	2006
Statistics	2.1	2006
Business Math	2.1	2006
Business Math	0.2	2006
Statistics	2	2006
Analytics	3.8	2006
Statistics	0.1	2006
Statistics	1.8	2006
Business Math	2.9	2006
Business Math	1.2	2006
Statistics	2	2006
Business Math	3.1	2006
Analytics	3.2	2006
Business Math	3.1	2006
Business Math	3.1	2006
Analytics	3.3	2006
Statistics	2.7	2006
Statistics	2.9	2006
Business Math	1.6	2006
Statistics	2.3	2006
Statistics	1.8	2006
Statistics	1.4	2006
Statistics	3.1	2006
Business Math	1.5	2006
Business Math	2.2	2006
Business Math	1.7	2006
Statistics	2.8	2006
Analytics	2.2	2006
Analytics	3.3	2006
Statistics	0.6	2006
Business Math	2.6	2006
Statistics	1.1	2006
Business Math	3	2006
Analytics	3.2	2006
Statistics	0.9	2006
Business Math	2.2	2006
Business Math	3	2006
Statistics	1.9	2006
Business Math	3.1	2006
Business Math	2.9	2006
Business Math	1.6	2006
Analytics	3.2	2006
Analytics	3.1	2006
Statistics	0.6	2006
Statistics	2.7	2006
Analytics	4	2006
Business Math	3	2006
Analytics	3.1	2006
Business Math	3.1	2006
Business Math	2.7	2006
Analytics	0	2006
Analytics	3.2	2006
Business Math	1.7	2006
Analytics	2.8	2006
Business Math	3	2006
Business Math	3	2006
Business Math	2.9	2006
Business Math	3	2006
Business Math	3	2006
Statistics	2.3	2006
Statistics	1.3	2006
Statistics	2.5	2006
Statistics	0.2	2006
Business Math	2.9	2006
Business Math	3.1	2006
Statistics	1.1	2006
Analytics	3.2	2006
Statistics	3.6	2006
Business Math	2.2	2006
Business Math	3.8	2006
Business Math	2.1	2006
Statistics	0.6	2006
Analytics	3.4	2006
Analytics	0.2	2006
Business Math	3.1	2006
Statistics	0.9	2006
Analytics	2.8	2006
Business Math	3.3	2006
Statistics	1.3	2006
Business Math	2.2	2006
Analytics	0.6	2006
Statistics	2.2	2006
Statistics	3.2	2006
Business Math	3.1	2006
Analytics	3.8	2006
Business Math	1.2	2006
Statistics	2.8	2006
Statistics	2	2006
Business Math	3	2006
Analytics	3.4	2006
Analytics	3.1	2006
Business Math	1.9	2006
Business Math	3	2006
Statistics	2.5	2006
Business Math	1.5	2006
Analytics	1.4	2006
Business Math	3	2006
Statistics	2.3	2006
Business Math	1.9	2006
Statistics	0.7	2006
Analytics	3.2	2006
Statistics	3	2006
Business Math	2.7	2006
Analytics	3.3	2006
Statistics	2.5	2006
Analytics	3.4	2006
Business Math	1.5	2006
Business Math	2.7	2006
Statistics	3	2006
Analytics	3.2	2006
Business Math	2.2	2006
Statistics	3.7	2006
Statistics	1.5	2006
Statistics	1.3	2006
Analytics	3.7	2006
Statistics	1.2	2006
Statistics	2.5	2006
Statistics	2.8	2006
Business Math	2	2006
Business Math	1.5	2006
Statistics	1.9	2006
Business Math	3.3	2006
Statistics	2.7	2006
Business Math	1.6	2006
Statistics	2.5	2006
Statistics	1.2	2006
Analytics	3.4	2006
Business Math	2.6	2006
Statistics	2.7	2006
Business Math	2.5	2006
Analytics	3.5	2006
Analytics	3	2006
Statistics	2.4	2006
Statistics	2.4	2006
Analytics	3.6	2006
Statistics	0.5	2006
Business Math	2.3	2006
Statistics	2.5	2006
Statistics	2.3	2006
Statistics	0.5	2006
Business Math	0.9	2006
Analytics	0.8	2006
Statistics	2.4	2006
Statistics	1.4	2006
Business Math	3	2006
Statistics	1.9	2006
Statistics	1.7	2006
Statistics	2.7	2006
Statistics	2.9	2006
Business Math	1.1	2006
Business Math	2.4	2006
Business Math	2.1	2006
Statistics	2.3	2006
Analytics	3.1	2006
Statistics	2.6	2006
Analytics	3.2	2006
Business Math	1.7	2006
Statistics	1.5	2006
Business Math	0.6	2006
Analytics	3.2	2006
Analytics	3.1	2006
Statistics	2.8	2006
Statistics	2.9	2006
Business Math	3	2006
Business Math	2.2	2006
Statistics	3	2006
Statistics	2.9	2006
Statistics	1.3	2006
Business Math	3.5	2006
Statistics	2.4	2006
Analytics	3.3	2006
Business Math	1.1	2006
Business Math	1.5	2006
Business Math	1.9	2006
Statistics	1.7	2006
Statistics	1.4	2006
Business Math	1.8	2006
Statistics	3.1	2006
Statistics	0.6	2006
Business Math	2	2006
Statistics	2.4	2006
Statistics	3.2	2006
Statistics	0.7	2006
Statistics	3.2	2006
Statistics	2.2	2006
Analytics	1.7	2006
Business Math	3.1	2006
Business Math	3.5	2006
Business Math	1.2	2006
Business Math	1.8	2006
Statistics	3	2006
Business Math	2.9	2006
Business Math	3	2006
Analytics	3.1	2006
Business Math	1.6	2006
Business Math	1.8	2006
Statistics	2.8	2006
Statistics	2.1	2006
Statistics	2.9	2006
Statistics	2.8	2006
Business Math	0.7	2006
Analytics	3.2	2006
Statistics	3.1	2006
Business Math	3.9	2006
Statistics	1.8	2006
Statistics	2.7	2006
Statistics	2.4	2006
Analytics	3.1	2006
Statistics	2.6	2006
Statistics	1	2006
Business Math	3	2006
Statistics	2.4	2006
Business Math	0.3	2006
Business Math	2.2	2006
Business Math	1.5	2006
Business Math	3	2006
Business Math	0.1	2006
Statistics	2.5	2006
Business Math	2.3	2006
Business Math	1.5	2006
Business Math	1.4	2006
Business Math	1.9	2006
Analytics	3.2	2006
Statistics	2.7	2006
Analytics	0.7	2006
Business Math	2.4	2006
Statistics	3	2006
Analytics	3.3	2006
Business Math	1.7	2006
Statistics	2.7	2006
Analytics	3.4	2006
Business Math	1.2	2006
Business Math	2.1	2006
Business Math	3.1	2006
Analytics	3.2	2006
Statistics	1.8	2006
Analytics	3.3	2006
Statistics	2.4	2006
Statistics	1.8	2006
Statistics	0.2	2006
Statistics	3	2006
Statistics	2.7	2006
Analytics	2.1	2006
Statistics	2.7	2006
Business Math	2.6	2006
Statistics	1.9	2006
Statistics	2	2006
Business Math	1.7	2006
Business Math	3.1	2006
Analytics	0.7	2006
Statistics	2.9	2006
Analytics	3.3	2006
Business Math	1.5	2006
Analytics	3.3	2006
Statistics	2.1	2006
Business Math	2	2006
Analytics	0.3	2006
Business Math	2.9	2006
Statistics	3.2	2006
Analytics	3.1	2006
Statistics	2.8	2006
Statistics	2.4	2006
Business Math	1.2	2006
Business Math	3	2006
Analytics	3.2	2006
Statistics	0.8	2006
Analytics	3.3	2006
Business Math	2	2006
Analytics	2.8	2006
Business Math	1.2	2006
Statistics	3	2006
Business Math	2.9	2006
Analytics	3.2	2006
Statistics	2.8	2006
Statistics	2.5	2006
Analytics	3.1	2006
Statistics	2.7	2006
Statistics	2.1	2006
Analytics	3.2	2006
Statistics	0.6	2006
Statistics	2.7	2006
Statistics	2.2	2006
Business Math	2.5	2006
Analytics	2	2006
Business Math	3.2	2006
Analytics	3.4	2006
Business Math	1	2006
Statistics	0.1	2006
Business Math	3.4	2006
Analytics	3.1	2006
Statistics	2.3	2006
Business Math	3.1	2006
Analytics	3.2	2006
Business Math	3.1	2006
Statistics	0.9	2006
Statistics	2.5	2006
Statistics	0.6	2006
Business Math	1.6	2006
Analytics	3.1	2006
Analytics	3.3	2006
Analytics	0	2006
Statistics	2.7	2006
Statistics	3.1	2006
Business Math	2.4	2006
Statistics	1.9	2006
Business Math	2.6	2006
Business Math	1.2	2006
Business Math	1.8	2006
Statistics	1.9	2006
Analytics	3.2	2006
Statistics	3	2006
Analytics	0.3	2006
Business Math	2.5	2006
Statistics	2.4	2006
Statistics	3	2006
Statistics	0.6	2006
Statistics	2.1	2006
Business Math	1.6	2006
Statistics	3	2006
Analytics	3.2	2006
Business Math	3.2	2006
Business Math	2.8	2006
Analytics	3.3	2006
Statistics	2.2	2006
Analytics	0.9	2006
Analytics	3.1	2006
Business Math	2.8	2006
Business Math	3.7	2006
Business Math	2.9	2006
Business Math	3.3	2006
Business Math	1.9	2006
Business Math	3.7	2006
Business Math	2.1	2006
Business Math	2.9	2006
Business Math	1.4	2006
Business Math	3	2006
Analytics	1.8	2006
Business Math	1.5	2006
Statistics	1.2	2006
Statistics	2.7	2006
Statistics	4	2006
Statistics	2.7	2006
Statistics	1	2006
Statistics	1	2006
Analytics	2.7	2006
Statistics	3.7	2006
Business Math	2.2	2006
Analytics	3.2	2006
Statistics	2	2006
Business Math	1.8	2006
Business Math	2.5	2006
Business Math	1.8	2006
Business Math	2.2	2006
Statistics	2	2006
Analytics	0	2006
Statistics	2.9	2006
Statistics	2.8	2006
Business Math	2.3	2006
Business Math	3	2006
Statistics	1.7	2006
Analytics	2.9	2006
Statistics	3	2006
Statistics	0.8	2006
Business Math	2.3	2006
Statistics	3	2006
Business Math	1.4	2006
Statistics	2.2	2006
Statistics	2.8	2006
Business Math	3.1	2006
Statistics	0.8	2006
Business Math	1.7	2006
Business Math	3	2006
Statistics	2.2	2006
Statistics	2.3	2006
Statistics	2.8	2006
Business Math	1.8	2006
Business Math	3.1	2006
Business Math	2.1	2006
Statistics	0.4	2006
Statistics	2.7	2006
Business Math	0.1	2006
Business Math	2.4	2006
Statistics	0.1	2006
Business Math	2.9	2006
Statistics	2.5	2006
Statistics	1.7	2006
Analytics	0.6	2006
Business Math	0.6	2006
Statistics	2.8	2006
Statistics	2.1	2006
Business Math	2.5	2006
Business Math	2.8	2006
Statistics	1.4	2006
Business Math	2.1	2006
Statistics	2.7	2006
Analytics	3.1	2006
Statistics	1.9	2006
Business Math	2.3	2006
Analytics	2.6	2006
Analytics	2	2006
Statistics	3	2006
Analytics	0.7	2006
Business Math	2.6	2006
Analytics	0.4	2006
Statistics	1.8	2006
Business Math	1.8	2006
Business Math	3.2	2006
Statistics	2.1	2006
Business Math	2	2006
Statistics	2.6	2006
Business Math	1.8	2006
Statistics	3.9	2006
Statistics	2.4	2006
Statistics	1.9	2006
Business Math	3	2006
Statistics	2.8	2006
Business Math	1.2	2006
Statistics	2.3	2006
Business Math	0.5	2006
Statistics	3.3	2006
Statistics	2.4	2006
Statistics	2.5	2006
Business Math	3.6	2006
Business Math	2.9	2006
Business Math	2.3	2006
Business Math	2.3	2006
Statistics	1.9	2006
Business Math	1.1	2006
Business Math	3.7	2006
Analytics	2.6	2006
Statistics	2.9	2006
Statistics	2.9	2006
Analytics	3.6	2006
Analytics	3.3	2006
Business Math	1.2	2006
Business Math	1.4	2006
Statistics	0.8	2006
Analytics	3.5	2006
Statistics	2.8	2006
Statistics	2.9	2006
Business Math	3.1	2006
Statistics	2	2006
Analytics	3.2	2006
Statistics	2.9	2006
Business Math	1.5	2006
Statistics	1.6	2006
Analytics	0.1	2006
Statistics	1.9	2006
Statistics	2.5	2006
Analytics	0.2	2006
Analytics	3.2	2006
Analytics	1.1	2006
Statistics	3.9	2006
Analytics	0.8	2006
Business Math	2.3	2006
Business Math	3.1	2006
Statistics	2.7	2006
Statistics	2.4	2006
Analytics	3.2	2006
Business Math	3.6	2006
Statistics	2.3	2006
Statistics	1.2	2006
Statistics	2.8	2006
Analytics	3.1	2006
Business Math	1.8	2006
Business Math	3.6	2006
Business Math	1.4	2006
Statistics	1.5	2006
Analytics	3.2	2006
Business Math	1.6	2006
Business Math	1.1	2006
Business Math	2.2	2006
Statistics	0.1	2006
Business Math	3.3	2006
Statistics	1.6	2006
Statistics	0.6	2006
Business Math	2	2006
Statistics	2.3	2006
Analytics	3.5	2006
Business Math	2.1	2006
Business Math	0.1	2006
Analytics	3.1	2006
Business Math	1.9	2006
Statistics	2.9	2006
Analytics	3.2	2006
Business Math	2.7	2006
Analytics	3.3	2006
Analytics	3.3	2006
Business Math	2.2	2006
Statistics	2.8	2006
Statistics	4	2006
Statistics	2.4	2006
Analytics	3.2	2006
Statistics	1.1	2006
Analytics	3.2	2006
Business Math	3.2	2006
Statistics	0.3	2006
Analytics	3.2	2006
Analytics	3.1	2006
Statistics	3.2	2006
Analytics	3.3	2006
Statistics	2	2006
Business Math	1.8	2006
Statistics	2.3	2006
Business Math	3	2006
Business Math	0.3	2006
Analytics	3.3	2006
Analytics	3	2006
Statistics	1	2006
Statistics	0.7	2006
Statistics	2.5	2006
Statistics	1.4	2006
Business Math	3	2006
Business Math	2.9	2006
Business Math	3.5	2006
Business Math	0	2006
Statistics	3.2	2006
Business Math	1.6	2006
Statistics	0.7	2006
Statistics	2	2006
Statistics	0.7	2006
Statistics	2.2	2006
Statistics	2.8	2006
Analytics	3.5	2006
Analytics	3.3	2006
Business Math	2	2006
Statistics	2.3	2006
Analytics	3	2006
Statistics	2.8	2006
Business Math	2.7	2006
Analytics	2.7	2006
Statistics	2.1	2006
Statistics	1.5	2006
Statistics	0	2006
Statistics	2.8	2006
Business Math	1.4	2006
Analytics	2.1	2006
Statistics	1.7	2006
Business Math	3.1	2006
Business Math	2.1	2006
Business Math	3.3	2006
Business Math	1.6	2006
Statistics	3.7	2006
Business Math	3.5	2006
Analytics	0.1	2006
Statistics	2.9	2006
Business Math	2.2	2006
Statistics	0.4	2006
Statistics	4	2006
Business Math	1.7	2006
Business Math	4	2006
Statistics	3.8	2006
Analytics	3.3	2006
Statistics	2.8	2006
Statistics	0.8	2006
Business Math	3.8	2006
Statistics	2.2	2006
Business Math	2	2006
Statistics	2.5	2006
Business Math	1.5	2006
Statistics	0.1	2006
Statistics	2.1	2006
Business Math	3	2006
Analytics	3.2	2006
Analytics	3.2	2006
Statistics	3.3	2006
Analytics	3.7	2006
Business Math	3.1	2006
Business Math	2.9	2006
Analytics	2.8	2006
Statistics	2.7	2006
Statistics	3.6	2006
Business Math	2.2	2006
Business Math	3.9	2006
Statistics	2.8	2006
Business Math	3	2006
Analytics	3.1	2006
Statistics	2.9	2006
Business Math	1.1	2006
Analytics	0.1	2006
Analytics	1	2006
Business Math	3.2	2006
Statistics	0.5	2006
Business Math	3.7	2006
Statistics	2.6	2006
Statistics	0	2006
Business Math	3	2006
Statistics	2.1	2006
Business Math	1.9	2006
Business Math	3.2	2006
Business Math	1.5	2006
Analytics	3.5	2006
Business Math	1.7	2006
Statistics	2.7	2006
Statistics	2.9	2006
Statistics	1	2006
Analytics	2	2006
Business Math	0.8	2006
Analytics	4	2006
Analytics	3.1	2006
Business Math	2.9	2006
Business Math	3.1	2006
Statistics	2.5	2006
Statistics	2.9	2006
Statistics	3.8	2006
Business Math	0.9	2006
Statistics	1.2	2006
Statistics	2.9	2006
Analytics	2.2	2006
Business Math	3.2	2006
Analytics	0.2	2006
Analytics	3.2	2006
Statistics	2	2006
Business Math	3.1	2006
Business Math	1.6	2006
Statistics	2.9	2006
Statistics	0.7	2006
Business Math	3.1	2006
Statistics	3	2006
Statistics	0.5	2006
Business Math	2.4	2006
Business Math	2.5	2006
Business Math	2.8	2006
Statistics	2.1	2006
Analytics	0	2006
Analytics	3.1	2006
Statistics	2.9	2006
Analytics	0.4	2006
Business Math	1.5	2006
Business Math	3	2006
Business Math	2.3	2006
Business Math	2.5	2006
Analytics	3.2	2006
Business Math	2.7	2006
Business Math	1.9	2006
Analytics	1.4	2006
Business Math	1.4	2006
Business Math	2.4	2006
Statistics	1.7	2006
Business Math	2.5	2006
Statistics	1.9	2006
Analytics	3.3	2006
Statistics	2.8	2006
Business Math	3	2006
Business Math	1.8	2006
Statistics	2.8	2006
Business Math	2.8	2006
Statistics	0.8	2006
Statistics	3.2	2006
Business Math	1.7	2006
Business Math	2.1	2006
Business Math	4	2006
Business Math	1.6	2006
Business Math	1.5	2006
Business Math	2.9	2006
Statistics	1.6	2006
Business Math	1.3	2006
Business Math	1.5	2006
Analytics	3.2	2006
Statistics	2.6	2006
Statistics	2.7	2006
Statistics	1.7	2006
Business Math	2	2006
Statistics	1.1	2006
Business Math	2.6	2006
Business Math	1.2	2006
Statistics	2	2006
Statistics	3.3	2006
Statistics	2.5	2006
Business Math	2.1	2006
Analytics	0.2	2006
Statistics	2.7	2006
Business Math	2.3	2006
Statistics	0.9	2006
Business Math	2.9	2006
Business Math	0.2	2006
Analytics	3.2	2006
Analytics	0.9	2006
Business Math	2.5	2006
Statistics	2.4	2006
Business Math	3.2	2006
Statistics	1.9	2006
Statistics	1.2	2006
Statistics	3.4	2006
Statistics	2	2006
Analytics	2.5	2006
Analytics	3.7	2006
Business Math	1.4	2006
Business Math	2.7	2006
Statistics	3.3	2006
Statistics	2.9	2006
Business Math	1.3	2006
